ABT
ATVI
AMZN
AAPL
BIDU
BA
CVX
KO
D
XOM
META
GD
JNJ
LMT
MSFT
NTES
NOC
NVS
OXY
SONY
TSLA
RTX
DIS
GS
NFLX
JD
BABA
PDD
MMM
AXP
ADI
CSCO
COST
TCOM
INTC
IBM
ERIC
MRVL
MA
MCD
MU
NOK
NVDA
ORCL
PFE
QCOM
SWKS
SBUX
TSM
TXN
V
WMT
KHC
PYPL
UBER
CCL
CAT
PG
UL
SHOP
IQ
NKLA
NIO
PINS
